,questions
1,"87.   Which of the following restrictions could you best tolerate: leaving the country permanently, or never leaving the state in which you now live? "
3,"88.   You, your closest friend, and your father are on vacation together, hiking in a remote jungle. Your two companions stumble into a nest of poisonous vipers and are bitten  repeatedly.  You know that neither will live without an immediate shot of anti-venom, yet there is only a single dose of anti-venom and it is in your pocket. What would you do? "
5,"89.   Where would you choose to be if you could place yourself anywhere on a scale from one to ten, where one is hardship, struggle, and extraordinary accomplishment and ten is comfort, peace of mind, and no accomplishment.  Why?  Where are you now? "
7,"90.   If you could choose the sex and physical appearance of your soon-to-be-born child, would you do it?* "
9,91.   Would you rather play a game with someone more or less talented than you?  Would it matter who was watching? 
11,92.   Is there something you've dreamed of doing for a long time?  Why haven't you done it?*
13,"93.   While in the government, you discover the President is commiting extortion and other serious crimes.  By exposing the situation you might bring about the President's downfall, but your career would be destroyed because you would be framed, fired, and  publicly humiliated on other matters.  Knowing you would vindicated five years later, would you blow the whistle?  What if you knew you would never be vindicated? "
15,"94.   On a busy street you are approached apologetically by a well-dressed stranger who asks you for a dollar to catch a bus and make a phone call.  He says he has lost his wallet.  What would you do?  If approached in the same way by a haggard-looking stranger claiming to be hungry and unable to find a job, what would you do? "
17,"95.   If by sacrificing your life you could contribute so much to the world that you would be honored in all nations, would you be willing to do so?  If so, would you make the same sacrifice knowing that someone you thoroughly disliked would receive the  honor while you went unrecognized? "
19,"96.   Knowing you had a 50 percent chance of winning and would be paid 10 times the amount of your bet if you won, what fraction of what you now own would you be willing to wager? "
21,97.   What are your most compulsive habits?  Do you regularly struggle to break these habits?
23,"98.   You know you will die of an incurable disease within three months.  Would you allow yourself to be frozen within the week if you knew it would give you a modest chance of being revived in 1,000 years and living a greatly extended life? "
25,"99.   You are driving late at night in a safe but deserted neighborhood when a dog suddenly darts in front of your car.  Though you slam on the breaks, you hit the animal.  Would you stop to see how injured the animal was?  If you did so and found that the dog was dead but had a name tag, would you contact the owner? "
27,"100.  What do you ost strive for in your life:  accomplishment, security, love, power, excitement, knowledge, or something else? "
29,"101.  An eccentric millionaire offers to donate a large sum to charity if you will step -- completely naked -- from a car onto a busy downtown street, walk four blocks, and climb back into the car.  Knowing that there would be no danger of physics abuse, would  you do it?* "
31,102.  How close and warm is your family?  Do you feel your childhood was happier than most other people's?* 
33,103.  Does the fact that you have never done something before increase or decrease its appeal to you? 
